Timestamp,Pin0,Pin1,Pin2,Pin3,Pin4,Pin5
1683137425220977190,900,900,1000,1000,1000,1000
1683137425223551620,900,900,1000,1000,1000,1000
1683137425226126013,900,900,1000,1000,995,995
1683137425228700276,900,900,1000,1000,1000,1000
1683137425231274539,900,900,1000,1000,1000,1000
1683137425233848857,900,900,1000,1000,1000,1000
1683137425236423065,900,900,1000,1000,1005,1005
1683137425238997661,900,900,1000,1000,995,995
1683137425241571702,900,900,1000,1000,1005,1005
1683137425244147391,900,900,1000,1000,1005,1005
1683137425246721709,902,902,1000,1000,1000,1000
1683137425249295898,902,902,1000,1000,1000,1000
1683137425251869865,900,900,1000,1000,995,995
1683137425254444369,900,900,1000,1000,1005,1005
1683137425257018502,900,900,1000,1000,1000,1000
1683137425259592432,900,900,1000,1000,1005,1005
1683137425262166547,900,900,1000,1000,1005,1005
1683137425264740550,900,900,1000,1000,995,995
1683137425267314610,900,900,1000,1000,995,995
1683137425269888725,900,900,1000,1000,1000,1000
1683137425272462932,900,900,1000,1000,1000,1000
1683137425275037362,900,900,1000,1000,1000,1000
1683137425277611662,900,900,1000,1000,1000,1000
1683137425280185758,900,900,1000,1000,995,995
1683137425282760003,900,900,1000,1000,1005,1005
1683137425285334469,900,900,1000,1000,1005,1005
1683137425287908714,899,899,999,999,1004,1004
1683137425290482884,900,900,1000,1000,1005,1005
1683137425293057777,900,900,1000,1000,995,995
1683137425295631984,900,900,1000,1000,1000,1000
1683137425298206303,900,900,1000,1000,1000,1000
1683137425300780325,900,900,1000,1000,1000,1000
1683137425303354625,900,900,1000,1000,1005,1005
1683137425305928888,900,900,1000,1000,995,995
1683137425308503059,900,900,1000,1000,995,995
1683137425311077136,900,900,1000,1000,1005,1005
1683137425313651270,900,900,1000,1000,1000,1000
1683137425316225681,900,900,1000,1000,1000,1000
1683137425318799833,900,900,1000,1000,995,995
1683137425321375800,900,900,1000,1000,995,995
1683137425323954970,900,900,1000,1000,1005,1005
1683137425326530418,900,900,1000,1000,1005,1005
1683137425329115885,900,900,1000,1000,1005,1005
1683137425331699314,900,900,1000,1000,1005,1005
1683137425334279855,900,900,1000,1000,1000,1000
1683137425336856063,900,900,1000,1000,1000,1000
1683137425339430863,900,900,1000,1000,995,995
1683137425342005348,900,900,1000,1000,1000,1000
1683137425344579963,900,900,1000,1000,1005,1005
1683137425347153041,900,900,1000,1000,1000,1000
1683137425349725933,900,900,1000,1000,1000,1000
1683137425352298956,900,900,1000,1000,1000,1000
1683137425354873422,900,900,1001,1001,996,996
1683137425357449111,900,900,1000,1000,1005,1005
1683137425360023226,900,900,1000,1000,1005,1005
1683137425362597526,900,900,1000,1000,1000,1000
1683137425365171863,900,900,1000,1000,1005,1005
1683137425367747923,900,900,1000,1000,995,995
1683137425370328834,900,900,1000,1000,1000,1000
1683137425372907041,900,900,1000,1000,1000,1000
1683137425375480119,900,900,1000,1000,995,995
1683137425378053549,900,900,1000,1000,1005,1005
1683137425380626256,900,900,1000,1000,1000,1000
1683137425383199130,900,900,1000,1000,1000,1000
1683137425385772208,900,900,1000,1000,1005,1005
1683137425388346397,900,900,1000,1000,1000,1000
1683137425390919216,900,900,1000,1000,1000,1000
1683137425393491942,900,900,1000,1000,1005,1005
1683137425396064908,900,900,1000,1000,995,995
1683137425398638301,900,900,1000,1000,1000,1000
1683137425401221601,900,900,1000,1000,1000,1000
1683137425403807919,900,900,1000,1000,1000,1000
1683137425406386368,900,900,1000,1000,1000,1000
1683137425408960668,900,900,1000,1000,1000,1000
1683137425411533838,900,900,1000,1000,1005,1005
1683137425414107008,900,900,1000,1000,1005,1005
1683137425416680957,900,900,1000,1000,1000,1000
1683137425419253664,900,900,1000,1000,1000,1000
1683137425421826353,900,900,1000,1000,995,995
1683137425424399764,900,900,1000,1000,995,995
1683137425426972509,900,900,1000,1000,995,995
1683137425429545087,900,900,1000,1000,1000,1000
1683137425432117590,900,900,1000,1000,1000,1000
1683137425434691816,900,900,1000,1000,995,995
1683137425437266968,900,900,1000,1000,1000,1000
1683137425439841268,900,900,1000,1000,1000,1000
1683137425442429494,900,900,1000,1000,995,995
1683137425445004702,900,900,1000,1000,1005,1005
1683137425447579205,900,900,1000,1000,1000,1000
1683137425450153302,900,900,1000,1000,995,995
1683137425452727731,900,900,1000,1000,1000,1000
1683137425455301994,900,900,1000,1000,1000,1000
1683137425457875906,900,900,1000,1000,1000,1000
1683137425460449835,900,900,1000,1000,1005,1005
1683137425463023932,900,900,1000,1000,995,995
1683137425465598139,900,900,1000,1000,995,995
1683137425468172161,900,900,1000,1000,1000,1000
1683137425470746461,900,900,1000,1000,995,995
1683137425473320595,900,900,1000,1000,1005,1005
1683137425475894691,900,900,1000,1000,1000,1000
1683137425478487361,900,900,1000,1000,1000,1000
1683137425481081180,900,900,1000,1000,1000,1000
1683137425483663813,900,900,1000,1000,1000,1000
1683137425486239539,900,900,1000,1000,1005,1005
1683137425488813006,900,900,1000,1000,995,995
1683137425491403565,900,900,1000,1000,995,995
1683137425493995124,900,900,1000,1000,1000,1000
1683137425496568610,900,900,1000,1000,1000,1000
1683137425499141317,900,900,1000,1000,995,995
1683137425501714043,900,900,1000,1000,1000,1000
1683137425504288565,900,900,1000,1000,1000,1000
1683137425506864588,900,900,1000,1000,1000,1000
1683137425509439036,900,900,1000,1000,1000,1000
1683137425512013336,900,900,1000,1000,1005,1005
1683137425514587691,900,900,1000,1000,1005,1005
1683137425517160547,899,899,999,999,999,999
1683137425519733051,900,900,1000,1000,995,995
1683137425522305925,900,900,1000,1000,1000,1000
1683137425524879077,900,900,1000,1000,1000,1000
1683137425527452932,900,900,1000,1000,1005,1005
1683137425530025955,900,900,1000,1000,1000,1000
1683137425532598514,900,900,1000,1000,1005,1005
1683137425535172907,900,900,1000,1000,1005,1005
1683137425537748355,900,900,1000,1000,995,995
1683137425540322433,900,900,1000,1000,1000,1000
1683137425542896862,900,900,1000,1000,1005,1005
1683137425545471311,900,900,1000,1000,1000,1000
1683137425548045333,900,900,1000,1000,1005,1005
1683137425550619559,900,900,1000,1000,1000,1000
1683137425553193637,900,900,1000,1000,1000,1000
1683137425555767844,900,900,1000,1000,1005,1005
1683137425558342329,900,900,1000,1000,1000,1000
1683137425560916481,900,900,1000,1000,1005,1005
1683137425563490633,900,900,1000,1000,1005,1005
1683137425566065044,900,900,1000,1000,995,995
1683137425568639215,900,900,1000,1000,1000,1000
1683137425571214163,900,900,1000,1000,1000,1000
1683137425573789130,900,900,1000,1000,1000,1000
1683137425576363485,900,900,1000,1000,1000,1000
1683137425578937730,900,900,1000,1000,1000,1000
1683137425581511715,900,900,1000,1000,1000,1000
1683137425584085608,900,900,1002,1002,1002,1002
1683137425586658574,900,900,1002,1002,1002,1002
1683137425589230930,901,901,1000,1000,1005,1005
1683137425591803360,901,901,1000,1000,1005,1005
1683137425594377549,900,900,1000,1000,1000,1000
1683137425596952886,900,900,1000,1000,1000,1000
1683137425599527075,900,900,1000,1000,995,995
1683137425602101078,900,900,1000,1000,1005,1005
1683137425604675323,900,900,1000,1000,1000,1000
1683137425607249938,900,900,1000,1000,1000,1000
1683137425609823923,900,900,1000,1000,1005,1005
1683137425612397723,900,900,1000,1000,995,995
1683137425614971653,900,900,1000,1000,1000,1000
1683137425617545897,900,900,1000,1000,1000,1000
1683137425620119827,900,900,1000,1000,995,995
1683137425622693997,900,900,1000,1000,1005,1005
1683137425625267816,900,900,1000,1000,995,995
1683137425627841745,900,900,1000,1000,995,995
1683137425630415860,900,900,1000,1000,1005,1005
1683137425632989846,900,900,1000,1000,1000,1000
1683137425635563831,900,900,1000,1000,1000,1000
1683137425638183094,900,900,1000,1000,1005,1005
1683137425640786171,900,900,1000,1000,995,995
1683137425643413471,900,900,1000,1000,1000,1000
1683137425646040234,900,900,1000,1000,1000,1000
1683137425648659830,900,900,1000,1000,1000,1000
1683137425651277593,900,900,1000,1000,1000,1000
1683137425653895040,900,900,1000,1000,1000,1000
1683137425656513025,899,899,1000,1000,1000,1000
1683137425659134473,899,899,999,999,999,999
1683137425661752255,900,900,1000,1000,1000,1000
1683137425664371443,900,900,1000,1000,1000,1000
1683137425666993762,900,900,1000,1000,1000,1000
1683137425669612932,900,900,1000,1000,1000,1000
1683137425672231176,901,901,1000,1000,1000,1000
1683137425674854957,900,900,1000,1000,1000,1000
1683137425677482164,899,899,999,999,999,999
1683137425680105298,901,901,1001,1001,1001,1001
1683137425682728597,900,900,1000,1000,1000,1000
1683137425685356416,899,899,999,999,999,999
1683137425688515101,900,900,1001,1001,1001,1001
1683137425691145382,900,900,1000,1000,1000,1000
1683137425693775738,900,900,1000,1000,1000,1000
1683137425696399519,900,900,1001,1001,1001,1001
1683137425699018189,901,901,1000,1000,1000,1000
1683137425701636507,901,901,1000,1000,1000,1000
1683137425704259789,900,900,1000,1000,1000,1000
